"Canada Mortgage and Housing Corporation, average rents for areas with a population of 10,000 and over" 1 2 3
"Annual"
"Table: 34-10-0133-01 (formerly CANSIM 027-0040)"
"Geography: Census subdivision, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Montréal, Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calgary, Alberta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edmonton, Alberta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vancouver, British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bachelor units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,,"Bachelor units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,,"Bachelor units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,,"Bachelor units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,,"Bachelor units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,,"Bachelor units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,
"Type of structure","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Row and apartment structures of three units and over","514","526","549","539","555","569","573","586","598","641","655","604","627","641","637","651","655","668","679","698","720","754","669","701","719","711","730","739","760","791","782","809","856","815","863","868","876","879","898","953","958","966","1,009","1,072","688","715","728","754","766","780","801","812","836","881","933","853","877","899","916","932","936","972","982","1,022","1,088","1,178","1,029","1,049","1,086","1,115","1,132","1,131","1,174","1,201","1,231","1,297","1,409","1,206","1,227","1,256","1,295","1,320","1,320","1,329","1,372","1,435","1,468","1,624","758","777","819","837","873","896","937","957","1,013","1,081","1,142","926","949","977","1,007","1,032","1,067","1,103","1,132","1,194","1,261","1,361","1,096","1,123","1,148","1,183","1,211","1,251","1,286","1,326","1,403","1,468","1,563","1,299","1,329","1,356","1,411","1,461","1,466","1,516","1,525","1,589","1,647","1,730","705","709","705","776","871","905","900","857","824","877","898","913","894","899","957","1,039","1,133","1,121","1,049","1,024","1,049","1,079","1,089","1,064","1,078","1,144","1,217","1,311","1,319","1,242","1,235","1,262","1,295","1,129","1,111","1,116","1,150","1,212","1,300","1,331","1,296","1,305","1,317","1,343","705","709","714","743","784","843","871","850","839","862","877","842","844","857","882","934","1,001","1,029","1,000","990","1,017","1,028","1,016","1,020","1,037","1,074","1,144","1,230","1,261","1,232","1,216","1,246","1,258","1,139","1,167","1,183","1,212","1,288","1,383","1,401","1,388","1,375","1,385","1,396","804","811","841","866","878","903","938","1,015","1,062","1,151","1,227","919","940","964","982","1,005","1,038","1,079","1,159","1,223","1,306","1,382","1,175","1,202","1,243","1,267","1,287","1,317","1,375","1,459","1,558","1,652","1,752","1,381","1,410","1,445","1,471","1,514","1,530","1,605","1,656","1,756","1,845","1,990"
