Census families by age of older partner or parent and number of children 1 2 3 4 5
"Annual"
"Table: 11-10-0011-01 (formerly CANSIM 111-0011)"
"Geography: Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","","","Montréal, Quebec 7",,,,,,,,,,,"Toronto, Ontario",,,,,,,,,,,"Calgary, Alberta",,,,,,,,,,,"Edmonton, Alberta",,,,,,,,,,,"Vancouver, British Columbia",,,,,,,,,,,"Ottawa - Gatineau, combined Ontario/Quebec 8",,,,,,,,,,
"Family type2 3 4 5","Family composition2 3 4 5","Parent characteristics5","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"All families 3 4","Families with or without children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","285,930","287,420","287,310","288,930","288,250","288,290","287,930","288,240","287,390","294,930","294,390","458,150","461,220","466,450","470,190","473,880","477,470","481,320","482,350","484,570","485,470","487,920","82,830","85,370","86,620","88,810","91,070","93,590","95,090","97,700","99,920","100,950","102,200","79,110","81,150","81,960","83,610","85,990","88,570","90,060","92,340","94,390","95,330","97,180","172,890","176,760","179,010","182,170","184,040","185,590","185,860","188,200","189,940","190,650","192,050","..","92,610","93,150","93,770","93,700","94,030","93,990","93,800","93,650","95,390","95,880"
,,"Older parent aged 35 to 44 years 10","70,820","69,830","68,380","68,620","67,840","67,540","66,750","66,680","66,640","68,070","67,960","120,230","115,400","110,750","107,930","105,330","102,990","100,800","99,100","98,780","97,460","98,600","21,210","21,330","21,070","21,460","22,160","22,800","23,140","23,870","24,430","24,670","25,150","17,300","17,190","17,110","17,560","18,180","19,100","19,580","20,300","20,990","21,300","22,020","44,090","43,040","42,070","41,790","41,210","40,690","39,590","39,250","39,410","39,390","39,780","..","22,570","21,680","20,970","20,510","20,240","19,890","19,610","19,440","19,710","19,690"
,,"Older parent aged 65 years and over 10","35,920","36,410","37,190","37,810","38,730","39,530","40,360","41,490","42,040","43,670","44,250","58,430","61,220","64,500","66,670","71,100","75,240","79,700","83,320","85,840","89,370","91,570","7,680","7,830","8,150","8,520","8,970","9,390","10,070","10,680","11,330","12,030","12,660","8,780","9,080","9,280","9,420","9,920","10,320","10,860","11,320","11,910","12,420","13,120","21,970","22,860","23,690","24,720","26,120","27,680","29,150","30,920","32,140","33,540","34,580","..","10,220","10,640","10,930","11,460","12,140","12,790","13,330","13,560","14,310","14,590"
,,"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Median total income 11 12","59,980","61,730","62,130","63,090","65,020","67,450","69,360","71,190","72,970","75,560","78,370","63,710","65,610","64,380","65,510","67,130","68,580","70,200","72,800","75,500","77,810","80,690","82,030","86,920","83,620","84,640","88,560","93,870","97,540","101,030","100,680","96,600","97,590","78,320","83,940","82,360","83,780","87,950","92,460","95,630","98,890","99,120","95,230","97,120","61,710","64,290","63,350","62,660","64,660","66,950","69,770","72,660","76,720","79,950","83,780","..","82,210","84,590","85,760","88,370","88,910","91,420","92,600","94,010","95,380","100,200"
,"Families with 2 children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","227,810","229,100","230,800","232,470","234,440","236,150","237,240","238,510","239,500","248,080","250,660","386,050","391,550","395,650","399,780","404,250","408,330","411,090","414,190","417,090","418,410","420,430","76,150","77,350","78,310","80,190","82,540","85,290","87,870","90,080","92,160","94,070","96,080","70,160","70,960","71,560","71,990","73,500","75,080","77,600","79,820","82,500","84,110","86,320","142,330","144,310","145,740","147,700","149,470","150,760","151,510","152,840","154,420","155,490","156,480","..","76,270","76,900","77,400","77,940","78,550","79,190","79,980","81,020","83,470","84,690"
,,"Older parent aged 35 to 44 years 10","93,290","92,040","91,260","91,490","92,110","93,100","93,320","93,480","94,070","97,640","98,120","147,050","145,690","144,140","143,730","143,040","142,110","140,430","138,630","137,960","136,860","136,470","29,770","29,970","30,280","31,110","32,170","33,290","34,330","35,500","36,290","36,920","37,580","26,290","26,260","26,210","26,430","27,160","28,020","29,160","30,420","31,930","32,960","34,250","52,220","52,090","52,020","52,150","52,030","51,970","51,500","51,130","51,300","51,240","51,730","..","30,320","30,170","29,990","29,860","29,870","29,740","29,750","29,760","30,630","30,790"
,,"Older parent aged 65 years and over 10","5,260","5,430","5,490","5,490","5,740","5,900","6,210","6,490","6,630","7,000","7,330","12,940","13,670","14,440","14,890","15,870","16,860","17,730","18,770","19,400","20,390","20,960","1,220","1,270","1,280","1,330","1,400","1,560","1,710","1,810","1,960","2,110","2,330","1,320","1,380","1,410","1,410","1,540","1,640","1,740","1,860","1,950","2,050","2,210","4,300","4,540","4,680","4,800","5,200","5,530","5,970","6,330","6,630","6,990","7,290","..","1,610","1,700","1,740","1,850","2,000","2,120","2,210","2,330","2,460","2,560"
,,"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
