"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823223","46.3.4","879","","","","0"
"2014","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823223","46.3.4","898","","","","0"
"2015","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823223","46.3.4","953","","","","0"
"2016","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823223","46.3.4","958","","","","0"
"2017","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823223","46.3.4","966","","","","0"
"2018","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823223","46.3.4","1009","","","","0"
"2019","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823223","46.3.4","1072","","","","0"
"2009","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2010","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2011","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2012","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2013","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2014","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2015","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2016","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2017","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","1136","","","","0"
"2018","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2019","Montréal, Quebec","2011S0503462","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823357","46.2.1","","F","","","0"
"2009","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","621","","","","0"
"2010","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","583","","","","0"
"2011","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","659","","","","0"
"2012","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","722","","","","0"
"2013","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","634","","","","0"
"2014","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","692","","","","0"
"2015","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","712","","","","0"
"2016","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","685","","","","0"
"2017","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","819","","","","0"
"2018","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","698","","","","0"
