"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Montréal, Quebec","2016S0503462","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542631","2.1.3","116.2","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","98.1","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","99.2","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","100.7","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","102.0","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","102.6","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","103.8","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","106.3","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","106.7","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","107.3","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","108.3","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","112.7","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","113.3","","","","1"
