"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012/2013","Toronto (CMA), Ontario","2016S0503535","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061031847","70.3.1.1","83620","","","","0"
"2013/2014","Toronto (CMA), Ontario","2016S0503535","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061031847","70.3.1.1","79616","","","","0"
"2014/2015","Toronto (CMA), Ontario","2016S0503535","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061031847","70.3.1.1","71207","","","","0"
"2015/2016","Toronto (CMA), Ontario","2016S0503535","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061031847","70.3.1.1","91673","","","","0"
"2016/2017","Toronto (CMA), Ontario","2016S0503535","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061031847","70.3.1.1","75061","","","","0"
"2017/2018","Toronto (CMA), Ontario","2016S0503535","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061031847","70.3.1.1","102740","","","","0"
"2018/2019","Toronto (CMA), Ontario","2016S0503535","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061031847","70.3.1.1","105591","","","","0"
"2006/2007","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","11122","","","","0"
"2007/2008","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","12638","","","","0"
"2008/2009","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","13356","","","","0"
"2009/2010","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","14917","","","","0"
"2010/2011","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","15112","","","","0"
"2011/2012","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","16024","","","","0"
"2012/2013","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","17677","","","","0"
"2013/2014","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","18543","","","","0"
"2014/2015","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","18543","","","","0"
"2015/2016","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","24859","","","","0"
"2016/2017","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","18886","","","","0"
"2017/2018","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","17425","","","","0"
"2018/2019","Calgary (CMA), Alberta","2016S0503825","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061185000","121.3.1.1","18528","","","","0"
"2006/2007","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","6427","","","","0"
"2007/2008","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","7508","","","","0"
"2008/2009","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","7781","","","","0"
"2009/2010","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","9758","","","","0"
"2010/2011","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","10447","","","","0"
"2011/2012","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","11574","","","","0"
