"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","331900","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","195900","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","","F","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","324800","E","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","324800","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","175000","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","235400","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","342900","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","342900","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","191000","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","182700","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","257700","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","368100","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","142000","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","","F","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","224400","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","232100","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","F","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","x","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","F","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","F","","","0"


