"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1386828","","","","0"
"2015","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1414010","","","","0"
"2016","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1438160","","","","0"
"2017","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1459256","","","","0"
"2018","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1483983","","","","0"
"2019","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1514723","","","","0"
"2009","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1163333","","","","0"
"2010","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1183929","","","","0"
"2011","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1205342","","","","0"
"2012","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1234307","","","","0"
"2013","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1271773","","","","0"
"2014","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1312214","","","","0"
"2015","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1338092","","","","0"
"2016","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1364394","","","","0"
"2017","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1391219","","","","0"
"2018","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1417062","","","","0"
"2019","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1447143","","","","0"
"2009","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2301469","","","","0"
"2010","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2344847","","","","0"
"2011","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2374642","","","","0"
"2012","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2418938","","","","0"
"2013","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2459426","","","","0"
"2014","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2507414","","","","0"
"2015","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2544484","","","","0"
"2016","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2582202","","","","0"
"2017","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2612874","","","","0"
"2018","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2652306","","","","0"
"2019","Vancouver (CMA), British Columbia","2016S0503933","Both sexes","All ages","Persons","249","units","0","v1060818031","142.1.1","2691351","","","","0"


