"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: 17-10-0135-01"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,
"","All ages",,,,,,,,,,
"Geography","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Persons",,,,,,,,,,
"Salaberry-de-Valleyfield (CA), Quebec","40,156","40,190","40,413","40,341","40,543","40,637","40,818","40,911","41,292","41,641","42,256"
"Lachute (CA), Quebec","12,222","12,423","12,659","12,738","12,768","12,762","12,932","12,881","12,908","13,047","13,272"
"Val-d'Or (CA), Quebec","33,289","33,352","33,585","33,903","34,033","33,987","33,969","34,055","34,085","34,203","34,340"
"Rouyn-Noranda (CA), Quebec","40,870","41,099","41,460","41,669","41,914","42,146","42,223","42,554","42,831","42,914","43,055"
"Hawkesbury (CA), Ontario/Quebec","12,409","12,404","12,374","12,426","12,532","12,436","12,346","12,189","12,399","12,438","12,495"
"Cornwall (CA), Ontario","60,320","60,385","60,448","60,559","60,379","60,562","60,790","61,165","61,455","61,948","62,445"
"Arnprior (CA), Ontario","15,484","15,695","15,891","16,089","16,181","16,284","16,310","16,357","16,663","16,993","17,308"
"Carleton Place (CA), Ontario","29,198","29,657","29,964","30,363","30,772","31,277","31,762","32,271","33,403","34,633","35,820"
"Brockville (CA), Ontario","40,247","40,170","39,938","39,352","39,323","39,360","39,348","39,503","39,683","39,995","40,182"
"Pembroke (CA), Ontario","24,457","24,560","24,645","24,935","24,799","24,384","24,067","23,813","23,896","23,817","23,766"
"Petawawa (CA), Ontario","16,187","16,414","16,664","16,660","16,997","17,509","17,692","17,853","17,994","18,293","18,687"
"Cobourg (CA), Ontario","18,828","18,856","18,964","19,423","19,542","19,699","19,846","19,805","20,017","20,088","20,180"
"Port Hope (CA), Ontario","16,732","16,661","16,609","16,561","16,694","16,821","16,978","17,161","17,494","17,631","17,743"
"Kawartha Lakes (CA), Ontario","75,330","75,090","74,955","75,517","75,726","75,931","76,484","77,296","78,494","79,561","80,516"
"Centre Wellington (CA), Ontario","27,092","27,252","27,385","27,639","27,766","28,080","28,426","29,008","29,506","30,316","31,035"
"Ingersoll (CA), Ontario","12,316","12,393","12,507","12,665","12,733","12,788","12,950","13,128","13,373","13,696","14,032"
"Woodstock (CA), Ontario","37,949","38,393","38,894","39,972","40,474","41,185","41,493","42,104","43,093","44,280","45,453"
"Tillsonburg (CA), Ontario","15,449","15,580","15,686","16,117","16,133","16,216","16,168","16,228","16,647","16,793","16,963"
"Norfolk (CA), Ontario","64,803","64,809","64,722","64,434","64,260","64,482","65,286","66,064","67,025","68,914","70,194"
