"REF_DATE","GEO","DGUID","Family type","Family composition","Parent characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","67010","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","69150","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","71390","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","73250","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","75010","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","76950","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","79180","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with or without children","Median total income","Dollars","81","units","0","v21211321","14.1.1.8","82000","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","396630","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","402570","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","408280","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","413390","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","420640","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","423900","","","","0"
